Subject,Lecturer,Alaa Mohasseb,Alex Bennett,Alexander Gegov,Alice Good,Amanda Peart,Asim Ali,Athanasios Paraskelidis,Atefeh Khazaei,"Bander 
Al-rimy",Carrie Toptan,Claudia Iacob,Dalin Zhou,David Williams,Dongxu Gao,Elisavet Andrikopoulou,Ella Haig,Fahad Ahmad,Farzad Arabikhan,Femi Fasunlade,Grace Golcarenarenji,Hamid Khaleghzadeh,Hasheem Danbatta,Honghai Liu,Ioannis Kagalidis,Ivan Jordanov,Janka Chlebikova,Jiacheng Tan,John Cox,Julian Murphy,Katerina Kanta,Kirsten Smith,Linda Yang,Mani Ghahremani,Marjan Golmaryami ,Mark Venn,Martin Sparrius,Matt Dennis,Matthew Poole,Mo Adda,"Mohamed 
Bader",Nadim Bakhshov,Nasreen Anjum,Olumuyiwa Matthew,Paolo Serafino,Peter Bednar,Priscilla Boadi,Rahim Taheri,Rich Boakes,Rinat Khusainov,Ronel Beukman,Shelley Usher,Shikun Zhou,Sohail Safdar,Stavros Shiaeles,Taiwo Adedeji,Tamer Elboghdadly,Tobi Fajana,Uchenna Ogenyi,Valentin Adamescu,Vasileios Adamos,Xia Han,Zaynab Lamoyero,Zhaojie Ju,Eslam Amer (CREATE Team),,,,,,,
,Agile Project Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,y,,Y,,,Y,,y,y,,Y,,y,,,,,,,,,,,,,,,,
,Benefits of the Deepweb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,
,Business Analysis,,,,,,,,Y,,,,,,,y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,Y,,,,,y,y,y,Y,,y,,,,,,,,,,,,,,,,
,Business Information Systems,,,,,,,,,,,,,,,y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,Y,,,,,y,y,,Y,y,y,Y,,,Y,,,Y,,,,,,,,,
,Business Processes,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,Y,,,,,y,y,,Y,,y,,,,,,,,,,,,,,,,
,Decision Support [Systems],,,,,,,,Y,,,,,,,,y,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,y,,Y,,Y,,Y,y,y,y,Y,y,y,Y,,,Y,,,,,,,,,,,,
,ERP,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,Y,y,y,,,,,,,,,,,,,,,,
,Industrial Espionage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,Industry 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,Y,,,,,,Y,y,,,,,,,,,,,,,,,,,
,Information Security,,,,,,y,,,y,,,,,,,,Y,,,,,,,,,,,,y,,,,,Y,,Y,,,,,,,y,,Y,,Y,Y,,y,y,,Y,y,,,,,,,,Y,,,,,,,,,
,IT Project Management,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,Y,,y,y,,Y,,y,Y,,,,,,,,,,,,,,,
,Knowledge Management [and sharing],,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Y,Y,,,Y,Y,y,y,,Y,,y,,,,,,,,,,,,,,,,
,Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,y,,,,,Y,,,,,,,,,,,,,,,
,Organisational Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,y,y,,,,y,,,,,,,Y,,,,,,,,,
,Organisational Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,y,y,,,,y,,,,,,,Y,,,,,,,,,
,Payment Systems,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,y,,y,y,,,,,,,,,,,,,,,,
,SAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,
,Supply Chain,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,y,,,,,,y,y,,y,y,Y,,,,,,,,,,,,,,,
